Validation_Set,Topics,Alpha,Beta,Coherence
100% corpus,18,0.9099999999999999,symmetric,0.40232027065099474
100% corpus,18,symmetric,0.01,0.38070862657388044
100% corpus,18,symmetric,0.31,0.4616702005265162
100% corpus,18,symmetric,0.61,0.4976355526988303
100% corpus,18,symmetric,0.9099999999999999,0.46309168953444807
100% corpus,18,symmetric,symmetric,0.3920251040513469
100% corpus,18,asymmetric,0.01,0.3560056508812397
100% corpus,18,asymmetric,0.31,0.4255501916795691
100% corpus,18,asymmetric,0.61,0.4815088179241246
100% corpus,18,asymmetric,0.9099999999999999,0.4700403650404599
100% corpus,18,asymmetric,symmetric,0.3866285742160347
